#{"t_start": 1599855997.1863642, "env_id": "Reacher6Dof-v0"}
r,l,t
-46.845382,150,1.378133
-75.550436,150,1.870776
-68.625945,150,2.362161
-105.52222,150,2.855597
-35.674477,150,3.358955
-46.009121,150,3.859787
15.487519,150,4.35938
-18.997972,150,4.854055
1.104841,150,6.051691
-30.239399,150,6.539178
-21.312836,150,7.0271
-74.952055,150,7.519626
-62.433161,150,8.007959
-48.753309,150,9.054081
-57.975948,150,9.543956
-27.286587,150,10.03029
-50.192918,150,11.157498
-3.669959,150,11.651224
-38.816638,150,12.140293
-64.54156,150,12.627751
-37.998516,150,13.115036
-66.130565,150,13.598244
-59.044865,150,14.082324
-116.840833,150,14.566937
-73.442067,150,15.052651
-26.803108,150,16.172799
-2.591573,150,16.660238
-30.879814,150,17.585619
-52.953308,150,18.069658
20.604857,150,18.552511
-77.572573,150,19.0445
-47.461987,150,19.54341
