#{"t_start": 1599860153.9387033, "env_id": "Reacher2Dof-v0"}
r,l,t
-35.87766,150,1.17086
-9.256299,150,1.256407
3.02557,150,1.340815
-8.161108,150,1.424545
-10.894126,150,1.508626
-8.238574,150,1.588594
-7.495984,150,2.055408
-7.107073,150,2.141154
14.482262,150,2.228255
-22.601301,150,2.313453
-15.511672,150,2.399101
-3.233932,150,2.483528
-26.153678,150,2.565846
-18.15386,150,2.692599
-22.68532,150,2.776878
-8.345855,150,2.864656
-15.867962,150,2.949392
3.048822,150,3.029886
-7.544356,150,3.114444
-22.73595,150,3.197284
-30.005348,150,3.32239
-15.255898,150,3.406416
-11.562537,150,3.495239
-4.646187,150,3.580088
-10.705629,150,3.663058
-16.55906,150,3.74627
-6.639185,150,3.829252
-11.041083,150,3.953287
-17.94732,150,4.039421
-16.499676,150,4.124618
1.039051,150,4.2086
-14.424047,150,4.291532
-6.608386,150,4.37174
-18.123604,150,4.455437
11.160855,150,4.582415
-12.623749,150,4.665461
-13.432822,150,4.745472
-5.649071,150,4.828863
3.580735,150,4.911638
-18.392536,150,4.994487
-0.040911,150,5.120514
-26.271492,150,5.205745
9.542601,150,5.293694
-2.301365,150,5.379232
-28.631405,150,5.462357
-42.158833,150,5.545759
1.52635,150,5.622395
-6.294377,150,5.7437
-0.070021,150,5.829259
-18.11889,150,5.914306
-17.46207,150,5.99915
-5.129481,150,6.085572
-8.901948,150,6.171935
-4.740589,150,6.25579
7.700026,150,6.379618
-12.830601,150,6.467396
-18.669526,150,6.553511
-19.523674,150,6.63964
-4.859206,150,6.725172
-3.382319,150,6.809344
-23.281006,150,6.893223
-15.384716,150,7.019752
-11.920674,150,7.106612
-8.439546,150,7.18938
-26.178421,150,7.274226
-23.183045,150,7.358322
4.082862,150,7.93782
-17.998573,150,8.020559
